state,loss_type,period,count
AL,BREAK-IN/BURGLARY,2019,1
AL,LOSS IN TRANSIT,2019,0
AL,PACKAGING DISCREPANCY,2019,0
AR,EMPLOYEE THEFT (OR SUSPECTED),2019,0
AR,LOSS IN TRANSIT,2019,0
AZ,EMPLOYEE THEFT (OR SUSPECTED),2019,0
AZ,HIJACKING OF TRANSPORT VEHICLE,2019,0
AZ,LOSS IN TRANSIT,2019,0
AZ,PACKAGING DISCREPANCY,2019,1
CA,BREAK-IN/BURGLARY,2019,0
CA,CUSTOMER THEFT (OR NON EMPLOYEE),2019,0
CA,EMPLOYEE THEFT (OR SUSPECTED),2019,0
CA,LOSS IN TRANSIT,2019,1
CA,PACKAGING DISCREPANCY,2019,0
CA,ROBBERY,2019,0
CO,BREAK-IN/BURGLARY,2019,1
CO,EMPLOYEE THEFT (OR SUSPECTED),2019,0
CO,HIJACKING OF TRANSPORT VEHICLE,2019,1
CO,LOSS IN TRANSIT,2019,0
CO,PACKAGING DISCREPANCY,2019,0
CT,LOSS IN TRANSIT,2019,0
FL,EMPLOYEE THEFT (OR SUSPECTED),2019,0
FL,LOSS IN TRANSIT,2019,2
FL,PACKAGING DISCREPANCY,2019,0
GA,BREAK-IN/BURGLARY,2019,1
GA,CUSTOMER THEFT (OR NON EMPLOYEE),2019,1
GA,EMPLOYEE THEFT (OR SUSPECTED),2019,0
GA,LOSS IN TRANSIT,2019,3
GA,PACKAGING DISCREPANCY,2019,0
HI,LOSS IN TRANSIT,2019,0
HI,PACKAGING DISCREPANCY,2019,0
IA,LOSS IN TRANSIT,2019,0
IA,PACKAGING DISCREPANCY,2019,1
ID,LOSS IN TRANSIT,2019,0
IL,BREAK-IN/BURGLARY,2019,0
IL,EMPLOYEE THEFT (OR SUSPECTED),2019,0
IL,LOSS IN TRANSIT,2019,3
IL,PACKAGING DISCREPANCY,2019,1
IL,ROBBERY,2019,0
IN,BREAK-IN/BURGLARY,2019,0
IN,LOSS IN TRANSIT,2019,1
IN,PACKAGING DISCREPANCY,2019,2
KS,LOSS IN TRANSIT,2019,1
KS,PACKAGING DISCREPANCY,2019,1
KS,ROBBERY,2019,0
KY,BREAK-IN/BURGLARY,2019,0
KY,CUSTOMER THEFT (OR NON EMPLOYEE),2019,0
KY,EMPLOYEE THEFT (OR SUSPECTED),2019,0
KY,LOSS IN TRANSIT,2019,0
KY,PACKAGING DISCREPANCY,2019,1
LA,"DISASTER (FIRE, WEATHER, ETC.)",2019,0
MA,LOSS IN TRANSIT,2019,0
MA,PACKAGING DISCREPANCY,2019,0
MD,CUSTOMER THEFT (OR NON EMPLOYEE),2019,0
MD,EMPLOYEE THEFT (OR SUSPECTED),2019,0
MD,LOSS IN TRANSIT,2019,2
MD,ROBBERY,2019,0
MI,EMPLOYEE THEFT (OR SUSPECTED),2019,1
MI,LOSS IN TRANSIT,2019,5
MI,PACKAGING DISCREPANCY,2019,0
MN,BREAK-IN/BURGLARY,2019,0
MN,EMPLOYEE THEFT (OR SUSPECTED),2019,0
MN,LOSS IN TRANSIT,2019,0
MN,PACKAGING DISCREPANCY,2019,0
MO,"DISASTER (FIRE, WEATHER, ETC.)",2019,0
MO,EMPLOYEE THEFT (OR SUSPECTED),2019,1
MO,LOSS IN TRANSIT,2019,12
MO,PACKAGING DISCREPANCY,2019,0
MS,LOSS IN TRANSIT,2019,0
MS,PACKAGING DISCREPANCY,2019,0
MT,EMPLOYEE THEFT (OR SUSPECTED),2019,0
NC,EMPLOYEE THEFT (OR SUSPECTED),2019,1
NC,LOSS IN TRANSIT,2019,0
NC,ROBBERY,2019,0
NE,LOSS IN TRANSIT,2019,0
NH,LOSS IN TRANSIT,2019,1
NJ,BREAK-IN/BURGLARY,2019,0
NJ,CUSTOMER THEFT (OR NON EMPLOYEE),2019,0
NJ,EMPLOYEE THEFT (OR SUSPECTED),2019,0
NJ,LOSS IN TRANSIT,2019,3
NJ,PACKAGING DISCREPANCY,2019,1
NM,EMPLOYEE THEFT (OR SUSPECTED),2019,0
NM,LOSS IN TRANSIT,2019,1
NM,ROBBERY,2019,0
NV,EMPLOYEE THEFT (OR SUSPECTED),2019,0
NV,LOSS IN TRANSIT,2019,0
NY,BREAK-IN/BURGLARY,2019,0
NY,EMPLOYEE THEFT (OR SUSPECTED),2019,1
NY,LOSS IN TRANSIT,2019,1
NY,PACKAGING DISCREPANCY,2019,0
NY,ROBBERY,2019,0
OH,EMPLOYEE THEFT (OR SUSPECTED),2019,2
OH,PACKAGING DISCREPANCY,2019,0
OK,LOSS IN TRANSIT,2019,1
OK,ROBBERY,2019,0
OR,CUSTOMER THEFT (OR NON EMPLOYEE),2019,1
OR,EMPLOYEE THEFT (OR SUSPECTED),2019,0
OR,LOSS IN TRANSIT,2019,0
OR,PACKAGING DISCREPANCY,2019,12
PA,BREAK-IN/BURGLARY,2019,0
PA,HIJACKING OF TRANSPORT VEHICLE,2019,0
PA,LOSS IN TRANSIT,2019,4
PA,PACKAGING DISCREPANCY,2019,1
PR,LOSS IN TRANSIT,2019,0
PR,PACKAGING DISCREPANCY,2019,0
RI,LOSS IN TRANSIT,2019,5
RI,PACKAGING DISCREPANCY,2019,0
SC,BREAK-IN/BURGLARY,2019,0
SC,CUSTOMER THEFT (OR NON EMPLOYEE),2019,0
SC,"DISASTER (FIRE, WEATHER, ETC.)",2019,0
SC,EMPLOYEE THEFT (OR SUSPECTED),2019,0
SC,LOSS IN TRANSIT,2019,1
SC,PACKAGING DISCREPANCY,2019,0
SD,BREAK-IN/BURGLARY,2019,0
TN,HIJACKING OF TRANSPORT VEHICLE,2019,1
TN,LOSS IN TRANSIT,2019,7
TN,PACKAGING DISCREPANCY,2019,0
TN,ROBBERY,2019,0
TX,BREAK-IN/BURGLARY,2019,1
TX,CUSTOMER THEFT (OR NON EMPLOYEE),2019,1
TX,EMPLOYEE THEFT (OR SUSPECTED),2019,0
TX,HIJACKING OF TRANSPORT VEHICLE,2019,3
TX,LOSS IN TRANSIT,2019,2
TX,PACKAGING DISCREPANCY,2019,0
TX,ROBBERY,2019,0
UT,EMPLOYEE THEFT (OR SUSPECTED),2019,0
UT,LOSS IN TRANSIT,2019,1
VA,BREAK-IN/BURGLARY,2019,1
VA,EMPLOYEE THEFT (OR SUSPECTED),2019,0
VA,LOSS IN TRANSIT,2019,0
VT,LOSS IN TRANSIT,2019,0
WA,EMPLOYEE THEFT (OR SUSPECTED),2019,0
WA,LOSS IN TRANSIT,2019,0
WI,EMPLOYEE THEFT (OR SUSPECTED),2019,0
WI,LOSS IN TRANSIT,2019,52
WI,PACKAGING DISCREPANCY,2019,0
WV,PACKAGING DISCREPANCY,2019,1
WY,BREAK-IN/BURGLARY,2019,0
WY,LOSS IN TRANSIT,2019,0
AL,BREAK-IN/BURGLARY,2020,0
AL,LOSS IN TRANSIT,2020,0
AL,PACKAGING DISCREPANCY,2020,2
AR,EMPLOYEE THEFT (OR SUSPECTED),2020,1
AR,LOSS IN TRANSIT,2020,1
AZ,EMPLOYEE THEFT (OR SUSPECTED),2020,0
AZ,HIJACKING OF TRANSPORT VEHICLE,2020,0
AZ,LOSS IN TRANSIT,2020,1
AZ,PACKAGING DISCREPANCY,2020,0
CA,BREAK-IN/BURGLARY,2020,8
CA,CUSTOMER THEFT (OR NON EMPLOYEE),2020,1
CA,EMPLOYEE THEFT (OR SUSPECTED),2020,0
CA,LOSS IN TRANSIT,2020,11
CA,PACKAGING DISCREPANCY,2020,4
CA,ROBBERY,2020,0
CO,BREAK-IN/BURGLARY,2020,0
CO,EMPLOYEE THEFT (OR SUSPECTED),2020,1
CO,HIJACKING OF TRANSPORT VEHICLE,2020,0
CO,LOSS IN TRANSIT,2020,1
CO,PACKAGING DISCREPANCY,2020,1
CT,LOSS IN TRANSIT,2020,0
FL,EMPLOYEE THEFT (OR SUSPECTED),2020,0
FL,LOSS IN TRANSIT,2020,2
FL,PACKAGING DISCREPANCY,2020,2
GA,BREAK-IN/BURGLARY,2020,0
GA,CUSTOMER THEFT (OR NON EMPLOYEE),2020,1
GA,EMPLOYEE THEFT (OR SUSPECTED),2020,0
GA,LOSS IN TRANSIT,2020,2
GA,PACKAGING DISCREPANCY,2020,0
HI,LOSS IN TRANSIT,2020,0
HI,PACKAGING DISCREPANCY,2020,0
IA,LOSS IN TRANSIT,2020,0
IA,PACKAGING DISCREPANCY,2020,0
ID,LOSS IN TRANSIT,2020,0
IL,BREAK-IN/BURGLARY,2020,16
IL,EMPLOYEE THEFT (OR SUSPECTED),2020,0
IL,LOSS IN TRANSIT,2020,1
IL,PACKAGING DISCREPANCY,2020,0
IL,ROBBERY,2020,1
IN,BREAK-IN/BURGLARY,2020,1
IN,LOSS IN TRANSIT,2020,4
IN,PACKAGING DISCREPANCY,2020,1
KS,LOSS IN TRANSIT,2020,2
KS,PACKAGING DISCREPANCY,2020,0
KS,ROBBERY,2020,0
KY,BREAK-IN/BURGLARY,2020,3
KY,CUSTOMER THEFT (OR NON EMPLOYEE),2020,0
KY,EMPLOYEE THEFT (OR SUSPECTED),2020,0
KY,LOSS IN TRANSIT,2020,0
KY,PACKAGING DISCREPANCY,2020,1
LA,"DISASTER (FIRE, WEATHER, ETC.)",2020,1
MA,LOSS IN TRANSIT,2020,1
MA,PACKAGING DISCREPANCY,2020,1
MD,CUSTOMER THEFT (OR NON EMPLOYEE),2020,0
MD,EMPLOYEE THEFT (OR SUSPECTED),2020,0
MD,LOSS IN TRANSIT,2020,0
MD,ROBBERY,2020,0
MI,EMPLOYEE THEFT (OR SUSPECTED),2020,1
MI,LOSS IN TRANSIT,2020,10
MI,PACKAGING DISCREPANCY,2020,5
MN,BREAK-IN/BURGLARY,2020,4
MN,EMPLOYEE THEFT (OR SUSPECTED),2020,0
MN,LOSS IN TRANSIT,2020,0
MN,PACKAGING DISCREPANCY,2020,0
MO,"DISASTER (FIRE, WEATHER, ETC.)",2020,0
MO,EMPLOYEE THEFT (OR SUSPECTED),2020,0
MO,LOSS IN TRANSIT,2020,1
MO,PACKAGING DISCREPANCY,2020,0
MS,LOSS IN TRANSIT,2020,0
MS,PACKAGING DISCREPANCY,2020,0
MT,EMPLOYEE THEFT (OR SUSPECTED),2020,0
NC,EMPLOYEE THEFT (OR SUSPECTED),2020,0
NC,LOSS IN TRANSIT,2020,1
NC,ROBBERY,2020,1
NE,LOSS IN TRANSIT,2020,1
NH,LOSS IN TRANSIT,2020,0
NJ,BREAK-IN/BURGLARY,2020,1
NJ,CUSTOMER THEFT (OR NON EMPLOYEE),2020,0
NJ,EMPLOYEE THEFT (OR SUSPECTED),2020,0
NJ,LOSS IN TRANSIT,2020,3
NJ,PACKAGING DISCREPANCY,2020,2
NM,EMPLOYEE THEFT (OR SUSPECTED),2020,0
NM,LOSS IN TRANSIT,2020,1
NM,ROBBERY,2020,1
NV,EMPLOYEE THEFT (OR SUSPECTED),2020,0
NV,LOSS IN TRANSIT,2020,2
NY,BREAK-IN/BURGLARY,2020,1
NY,EMPLOYEE THEFT (OR SUSPECTED),2020,0
NY,LOSS IN TRANSIT,2020,3
NY,PACKAGING DISCREPANCY,2020,2
NY,ROBBERY,2020,0
OH,EMPLOYEE THEFT (OR SUSPECTED),2020,0
OH,PACKAGING DISCREPANCY,2020,0
OK,LOSS IN TRANSIT,2020,1
OK,ROBBERY,2020,3
OR,CUSTOMER THEFT (OR NON EMPLOYEE),2020,0
OR,EMPLOYEE THEFT (OR SUSPECTED),2020,1
OR,LOSS IN TRANSIT,2020,0
OR,PACKAGING DISCREPANCY,2020,19
PA,BREAK-IN/BURGLARY,2020,4
PA,HIJACKING OF TRANSPORT VEHICLE,2020,1
PA,LOSS IN TRANSIT,2020,2
PA,PACKAGING DISCREPANCY,2020,0
PR,LOSS IN TRANSIT,2020,0
PR,PACKAGING DISCREPANCY,2020,1
RI,LOSS IN TRANSIT,2020,4
RI,PACKAGING DISCREPANCY,2020,0
SC,BREAK-IN/BURGLARY,2020,0
SC,CUSTOMER THEFT (OR NON EMPLOYEE),2020,0
SC,"DISASTER (FIRE, WEATHER, ETC.)",2020,0
SC,EMPLOYEE THEFT (OR SUSPECTED),2020,1
SC,LOSS IN TRANSIT,2020,1
SC,PACKAGING DISCREPANCY,2020,2
SD,BREAK-IN/BURGLARY,2020,1
TN,HIJACKING OF TRANSPORT VEHICLE,2020,0
TN,LOSS IN TRANSIT,2020,14
TN,PACKAGING DISCREPANCY,2020,0
TN,ROBBERY,2020,0
TX,BREAK-IN/BURGLARY,2020,0
TX,CUSTOMER THEFT (OR NON EMPLOYEE),2020,0
TX,EMPLOYEE THEFT (OR SUSPECTED),2020,0
TX,HIJACKING OF TRANSPORT VEHICLE,2020,0
TX,LOSS IN TRANSIT,2020,11
TX,PACKAGING DISCREPANCY,2020,6
TX,ROBBERY,2020,0
UT,EMPLOYEE THEFT (OR SUSPECTED),2020,0
UT,LOSS IN TRANSIT,2020,0
VA,BREAK-IN/BURGLARY,2020,0
VA,EMPLOYEE THEFT (OR SUSPECTED),2020,1
VA,LOSS IN TRANSIT,2020,1
VT,LOSS IN TRANSIT,2020,0
WA,EMPLOYEE THEFT (OR SUSPECTED),2020,0
WA,LOSS IN TRANSIT,2020,1
WI,EMPLOYEE THEFT (OR SUSPECTED),2020,1
WI,LOSS IN TRANSIT,2020,0
WI,PACKAGING DISCREPANCY,2020,0
WV,PACKAGING DISCREPANCY,2020,0
WY,BREAK-IN/BURGLARY,2020,0
WY,LOSS IN TRANSIT,2020,0
AL,BREAK-IN/BURGLARY,2021,0
AL,LOSS IN TRANSIT,2021,1
AL,PACKAGING DISCREPANCY,2021,0
AR,EMPLOYEE THEFT (OR SUSPECTED),2021,0
AR,LOSS IN TRANSIT,2021,0
AZ,EMPLOYEE THEFT (OR SUSPECTED),2021,0
AZ,HIJACKING OF TRANSPORT VEHICLE,2021,1
AZ,LOSS IN TRANSIT,2021,1
AZ,PACKAGING DISCREPANCY,2021,0
CA,BREAK-IN/BURGLARY,2021,1
CA,CUSTOMER THEFT (OR NON EMPLOYEE),2021,0
CA,EMPLOYEE THEFT (OR SUSPECTED),2021,1
CA,LOSS IN TRANSIT,2021,15
CA,PACKAGING DISCREPANCY,2021,5
CA,ROBBERY,2021,0
CO,BREAK-IN/BURGLARY,2021,0
