state,loss_type,period,count
CO,EMPLOYEE THEFT (OR SUSPECTED),2021,0
CO,HIJACKING OF TRANSPORT VEHICLE,2021,0
CO,LOSS IN TRANSIT,2021,2
CO,PACKAGING DISCREPANCY,2021,1
CT,LOSS IN TRANSIT,2021,0
FL,EMPLOYEE THEFT (OR SUSPECTED),2021,0
FL,LOSS IN TRANSIT,2021,6
FL,PACKAGING DISCREPANCY,2021,4
GA,BREAK-IN/BURGLARY,2021,0
GA,CUSTOMER THEFT (OR NON EMPLOYEE),2021,0
GA,EMPLOYEE THEFT (OR SUSPECTED),2021,0
GA,LOSS IN TRANSIT,2021,2
GA,PACKAGING DISCREPANCY,2021,1
HI,LOSS IN TRANSIT,2021,1
HI,PACKAGING DISCREPANCY,2021,1
IA,LOSS IN TRANSIT,2021,3
IA,PACKAGING DISCREPANCY,2021,0
ID,LOSS IN TRANSIT,2021,1
IL,BREAK-IN/BURGLARY,2021,2
IL,EMPLOYEE THEFT (OR SUSPECTED),2021,0
IL,LOSS IN TRANSIT,2021,3
IL,PACKAGING DISCREPANCY,2021,0
IL,ROBBERY,2021,0
IN,BREAK-IN/BURGLARY,2021,0
IN,LOSS IN TRANSIT,2021,4
IN,PACKAGING DISCREPANCY,2021,4
KS,LOSS IN TRANSIT,2021,0
KS,PACKAGING DISCREPANCY,2021,0
KS,ROBBERY,2021,1
KY,BREAK-IN/BURGLARY,2021,0
KY,CUSTOMER THEFT (OR NON EMPLOYEE),2021,1
KY,EMPLOYEE THEFT (OR SUSPECTED),2021,0
KY,LOSS IN TRANSIT,2021,1
KY,PACKAGING DISCREPANCY,2021,0
LA,"DISASTER (FIRE, WEATHER, ETC.)",2021,0
MA,LOSS IN TRANSIT,2021,1
MA,PACKAGING DISCREPANCY,2021,1
MD,CUSTOMER THEFT (OR NON EMPLOYEE),2021,0
MD,EMPLOYEE THEFT (OR SUSPECTED),2021,0
MD,LOSS IN TRANSIT,2021,1
MD,ROBBERY,2021,1
MI,EMPLOYEE THEFT (OR SUSPECTED),2021,1
MI,LOSS IN TRANSIT,2021,8
MI,PACKAGING DISCREPANCY,2021,3
MN,BREAK-IN/BURGLARY,2021,0
MN,EMPLOYEE THEFT (OR SUSPECTED),2021,1
MN,LOSS IN TRANSIT,2021,1
MN,PACKAGING DISCREPANCY,2021,1
MO,"DISASTER (FIRE, WEATHER, ETC.)",2021,0
MO,EMPLOYEE THEFT (OR SUSPECTED),2021,0
MO,LOSS IN TRANSIT,2021,5
MO,PACKAGING DISCREPANCY,2021,1
MS,LOSS IN TRANSIT,2021,2
MS,PACKAGING DISCREPANCY,2021,7
MT,EMPLOYEE THEFT (OR SUSPECTED),2021,1
NC,EMPLOYEE THEFT (OR SUSPECTED),2021,0
NC,LOSS IN TRANSIT,2021,0
NC,ROBBERY,2021,0
NE,LOSS IN TRANSIT,2021,0
NH,LOSS IN TRANSIT,2021,0
NJ,BREAK-IN/BURGLARY,2021,0
NJ,CUSTOMER THEFT (OR NON EMPLOYEE),2021,1
NJ,EMPLOYEE THEFT (OR SUSPECTED),2021,1
NJ,LOSS IN TRANSIT,2021,5
NJ,PACKAGING DISCREPANCY,2021,3
NM,EMPLOYEE THEFT (OR SUSPECTED),2021,0
NM,LOSS IN TRANSIT,2021,1
NM,ROBBERY,2021,0
NV,EMPLOYEE THEFT (OR SUSPECTED),2021,1
NV,LOSS IN TRANSIT,2021,0
NY,BREAK-IN/BURGLARY,2021,0
NY,EMPLOYEE THEFT (OR SUSPECTED),2021,0
NY,LOSS IN TRANSIT,2021,2
NY,PACKAGING DISCREPANCY,2021,3
NY,ROBBERY,2021,1
OH,EMPLOYEE THEFT (OR SUSPECTED),2021,0
OH,PACKAGING DISCREPANCY,2021,0
OK,LOSS IN TRANSIT,2021,3
OK,ROBBERY,2021,0
OR,CUSTOMER THEFT (OR NON EMPLOYEE),2021,0
OR,EMPLOYEE THEFT (OR SUSPECTED),2021,2
OR,LOSS IN TRANSIT,2021,0
OR,PACKAGING DISCREPANCY,2021,15
PA,BREAK-IN/BURGLARY,2021,0
PA,HIJACKING OF TRANSPORT VEHICLE,2021,1
PA,LOSS IN TRANSIT,2021,3
PA,PACKAGING DISCREPANCY,2021,1
PR,LOSS IN TRANSIT,2021,1
PR,PACKAGING DISCREPANCY,2021,0
RI,LOSS IN TRANSIT,2021,2
RI,PACKAGING DISCREPANCY,2021,0
SC,BREAK-IN/BURGLARY,2021,1
SC,CUSTOMER THEFT (OR NON EMPLOYEE),2021,0
SC,"DISASTER (FIRE, WEATHER, ETC.)",2021,1
SC,EMPLOYEE THEFT (OR SUSPECTED),2021,0
SC,LOSS IN TRANSIT,2021,2
SC,PACKAGING DISCREPANCY,2021,0
SD,BREAK-IN/BURGLARY,2021,0
TN,HIJACKING OF TRANSPORT VEHICLE,2021,0
TN,LOSS IN TRANSIT,2021,31
TN,PACKAGING DISCREPANCY,2021,0
TN,ROBBERY,2021,0
TX,BREAK-IN/BURGLARY,2021,0
TX,CUSTOMER THEFT (OR NON EMPLOYEE),2021,0
TX,EMPLOYEE THEFT (OR SUSPECTED),2021,3
TX,HIJACKING OF TRANSPORT VEHICLE,2021,1
TX,LOSS IN TRANSIT,2021,10
TX,PACKAGING DISCREPANCY,2021,1
TX,ROBBERY,2021,2
UT,EMPLOYEE THEFT (OR SUSPECTED),2021,1
UT,LOSS IN TRANSIT,2021,0
VA,BREAK-IN/BURGLARY,2021,0
VA,EMPLOYEE THEFT (OR SUSPECTED),2021,1
VA,LOSS IN TRANSIT,2021,0
VT,LOSS IN TRANSIT,2021,1
WA,EMPLOYEE THEFT (OR SUSPECTED),2021,3
WA,LOSS IN TRANSIT,2021,2
WI,EMPLOYEE THEFT (OR SUSPECTED),2021,0
WI,LOSS IN TRANSIT,2021,1
WI,PACKAGING DISCREPANCY,2021,1
WV,PACKAGING DISCREPANCY,2021,0
WY,BREAK-IN/BURGLARY,2021,0
WY,LOSS IN TRANSIT,2021,1
AL,BREAK-IN/BURGLARY,JAN-SEP 2022,1
AL,LOSS IN TRANSIT,JAN-SEP 2022,1
AL,PACKAGING DISCREPANCY,JAN-SEP 2022,0
AR,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
AR,LOSS IN TRANSIT,JAN-SEP 2022,0
AZ,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
AZ,HIJACKING OF TRANSPORT VEHICLE,JAN-SEP 2022,0
AZ,LOSS IN TRANSIT,JAN-SEP 2022,0
AZ,PACKAGING DISCREPANCY,JAN-SEP 2022,1
CA,BREAK-IN/BURGLARY,JAN-SEP 2022,1
CA,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,0
CA,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
CA,LOSS IN TRANSIT,JAN-SEP 2022,10
CA,PACKAGING DISCREPANCY,JAN-SEP 2022,4
CA,ROBBERY,JAN-SEP 2022,1
CO,BREAK-IN/BURGLARY,JAN-SEP 2022,0
CO,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
CO,HIJACKING OF TRANSPORT VEHICLE,JAN-SEP 2022,0
CO,LOSS IN TRANSIT,JAN-SEP 2022,3
CO,PACKAGING DISCREPANCY,JAN-SEP 2022,0
CT,LOSS IN TRANSIT,JAN-SEP 2022,1
FL,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
FL,LOSS IN TRANSIT,JAN-SEP 2022,6
FL,PACKAGING DISCREPANCY,JAN-SEP 2022,1
GA,BREAK-IN/BURGLARY,JAN-SEP 2022,1
GA,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,0
GA,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
GA,LOSS IN TRANSIT,JAN-SEP 2022,4
GA,PACKAGING DISCREPANCY,JAN-SEP 2022,0
HI,LOSS IN TRANSIT,JAN-SEP 2022,1
HI,PACKAGING DISCREPANCY,JAN-SEP 2022,2
IA,LOSS IN TRANSIT,JAN-SEP 2022,0
IA,PACKAGING DISCREPANCY,JAN-SEP 2022,0
ID,LOSS IN TRANSIT,JAN-SEP 2022,1
IL,BREAK-IN/BURGLARY,JAN-SEP 2022,1
IL,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
IL,LOSS IN TRANSIT,JAN-SEP 2022,3
IL,PACKAGING DISCREPANCY,JAN-SEP 2022,1
IL,ROBBERY,JAN-SEP 2022,1
IN,BREAK-IN/BURGLARY,JAN-SEP 2022,0
IN,LOSS IN TRANSIT,JAN-SEP 2022,11
IN,PACKAGING DISCREPANCY,JAN-SEP 2022,1
KS,LOSS IN TRANSIT,JAN-SEP 2022,4
KS,PACKAGING DISCREPANCY,JAN-SEP 2022,0
KS,ROBBERY,JAN-SEP 2022,0
KY,BREAK-IN/BURGLARY,JAN-SEP 2022,0
KY,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,1
KY,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,2
KY,LOSS IN TRANSIT,JAN-SEP 2022,1
KY,PACKAGING DISCREPANCY,JAN-SEP 2022,4
LA,"DISASTER (FIRE, WEATHER, ETC.)",JAN-SEP 2022,0
MA,LOSS IN TRANSIT,JAN-SEP 2022,2
MA,PACKAGING DISCREPANCY,JAN-SEP 2022,0
MD,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,1
MD,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,2
MD,LOSS IN TRANSIT,JAN-SEP 2022,0
MD,ROBBERY,JAN-SEP 2022,2
MI,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
MI,LOSS IN TRANSIT,JAN-SEP 2022,3
MI,PACKAGING DISCREPANCY,JAN-SEP 2022,3
MN,BREAK-IN/BURGLARY,JAN-SEP 2022,0
MN,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
MN,LOSS IN TRANSIT,JAN-SEP 2022,1
MN,PACKAGING DISCREPANCY,JAN-SEP 2022,0
MO,"DISASTER (FIRE, WEATHER, ETC.)",JAN-SEP 2022,1
MO,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
MO,LOSS IN TRANSIT,JAN-SEP 2022,8
MO,PACKAGING DISCREPANCY,JAN-SEP 2022,0
MS,LOSS IN TRANSIT,JAN-SEP 2022,3
MS,PACKAGING DISCREPANCY,JAN-SEP 2022,1
MT,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
NC,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,2
NC,LOSS IN TRANSIT,JAN-SEP 2022,0
NC,ROBBERY,JAN-SEP 2022,0
NE,LOSS IN TRANSIT,JAN-SEP 2022,0
NH,LOSS IN TRANSIT,JAN-SEP 2022,0
NJ,BREAK-IN/BURGLARY,JAN-SEP 2022,0
NJ,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,0
NJ,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
NJ,LOSS IN TRANSIT,JAN-SEP 2022,5
NJ,PACKAGING DISCREPANCY,JAN-SEP 2022,1
NM,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
NM,LOSS IN TRANSIT,JAN-SEP 2022,1
NM,ROBBERY,JAN-SEP 2022,0
NV,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
NV,LOSS IN TRANSIT,JAN-SEP 2022,1
NY,BREAK-IN/BURGLARY,JAN-SEP 2022,1
NY,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
NY,LOSS IN TRANSIT,JAN-SEP 2022,2
NY,PACKAGING DISCREPANCY,JAN-SEP 2022,7
NY,ROBBERY,JAN-SEP 2022,0
OH,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
OH,PACKAGING DISCREPANCY,JAN-SEP 2022,1
OK,LOSS IN TRANSIT,JAN-SEP 2022,4
OK,ROBBERY,JAN-SEP 2022,0
OR,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,0
OR,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
OR,LOSS IN TRANSIT,JAN-SEP 2022,1
OR,PACKAGING DISCREPANCY,JAN-SEP 2022,5
PA,BREAK-IN/BURGLARY,JAN-SEP 2022,0
PA,HIJACKING OF TRANSPORT VEHICLE,JAN-SEP 2022,0
PA,LOSS IN TRANSIT,JAN-SEP 2022,11
PA,PACKAGING DISCREPANCY,JAN-SEP 2022,3
PR,LOSS IN TRANSIT,JAN-SEP 2022,0
PR,PACKAGING DISCREPANCY,JAN-SEP 2022,0
RI,LOSS IN TRANSIT,JAN-SEP 2022,13
RI,PACKAGING DISCREPANCY,JAN-SEP 2022,1
SC,BREAK-IN/BURGLARY,JAN-SEP 2022,0
SC,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,1
SC,"DISASTER (FIRE, WEATHER, ETC.)",JAN-SEP 2022,0
SC,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
SC,LOSS IN TRANSIT,JAN-SEP 2022,0
SC,PACKAGING DISCREPANCY,JAN-SEP 2022,0
SD,BREAK-IN/BURGLARY,JAN-SEP 2022,0
TN,HIJACKING OF TRANSPORT VEHICLE,JAN-SEP 2022,0
TN,LOSS IN TRANSIT,JAN-SEP 2022,18
TN,PACKAGING DISCREPANCY,JAN-SEP 2022,2
TN,ROBBERY,JAN-SEP 2022,1
TX,BREAK-IN/BURGLARY,JAN-SEP 2022,0
TX,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,0
TX,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
TX,HIJACKING OF TRANSPORT VEHICLE,JAN-SEP 2022,0
TX,LOSS IN TRANSIT,JAN-SEP 2022,11
TX,PACKAGING DISCREPANCY,JAN-SEP 2022,4
TX,ROBBERY,JAN-SEP 2022,2
UT,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
UT,LOSS IN TRANSIT,JAN-SEP 2022,0
VA,BREAK-IN/BURGLARY,JAN-SEP 2022,0
VA,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
VA,LOSS IN TRANSIT,JAN-SEP 2022,1
VT,LOSS IN TRANSIT,JAN-SEP 2022,0
WA,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
WA,LOSS IN TRANSIT,JAN-SEP 2022,2
WI,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
WI,LOSS IN TRANSIT,JAN-SEP 2022,0
WI,PACKAGING DISCREPANCY,JAN-SEP 2022,0
WV,PACKAGING DISCREPANCY,JAN-SEP 2022,0
WY,BREAK-IN/BURGLARY,JAN-SEP 2022,1
WY,LOSS IN TRANSIT,JAN-SEP 2022,0
